Industry,Both Sexes(Number),Male(Number),Female(Number),Both Sexes(%),Male(%),Female(%)
Agriculture forestry and fishing,2612551,1386379,1226172,33.1,33.7,32.6
Industry,2132077,1153759,978318,27,28,26
Mining and quarrying,6538,4852,1685,0.1,0.1,0
Manufacturing,1314966,475364,839602,16.7,11.5,22.3
"Electricity gas steam and air
conditioning supply",9670,7930,1740,0.1,0.2,0
Water supply sewerage waste management and remediation activities,15693,9663,6030,0.2,0.2,0.2
Construction,785210,655950,129261,10,15.9,3.4
Services,3138480,1577325,1561153,39.8,38.3,41.5
"Wholesale and retail trade, repair of motor vehicles and motorcycles",1319027,440612,878415,16.7,10.7,23.3
Transportation and storage,364863,342632,22231,4.6,8.3,0.6
Accommodation and food service activities,269527,95949,173578,3.4,2.3,4.6
Information and communication,26175,18528,7646,0.3,0.4,0.2
Financial and insurance activities,114231,70507,43724,1.4,1.7,1.2
Real estate activities,25123,15678,9445,0.3,0.4,0.3
"Professional scientific and technical
activities",60579,30698,29881,0.8,0.7,0.8
Administrative and support service activities,176821,98381,78441,2.2,2.4,2.1
"Public administration and defence
compulsory social security",284894,232012,52881,3.6,5.6,1.4
Education,182972,97616,85355,2.3,2.4,2.3
Human health and social work activities,64733,35387,29346,0.8,0.9,0.8
"Arts, entertainment and recreation",76402,35148,41254,1,0.9,1.1
Other service activities,131662,47252,84410,1.7,1.1,2.2
"Activities of households as employers, undifferentiated goods- and services- producing activities of households for own
use",33996,12450,21546,0.4,0.3,0.6
Activities of extraterritorial organizations and bodies,7475,4475,3000,0.1,0.1,0.1
Total,7883106,4117464,3765641,100,100,100
